win,firstBlood,firstTower,KillDiff,AssistDiff,DamageDiff,TrueDamageDiff,HealDiff,CCTimeDiff,MinionDiff,CounterJungleDiff,DragonDiff,BaronDiff
0,1,1,-4,-4,-17092,-7609,13645,-43,-123,-4,0,-2
0,0,0,-17,-31,-15987,-3900,1304,10,-6,-10,0,-1
0,0,0,-14,-22,-22532,-1816,-5422,-1,-73,-29,-1,0
0,1,0,-17,-22,-38454,-6692,-15102,-51,71,-12,-4,-1
1,0,1,20,23,23626,1792,-1206,47,1,18,2,1
1,1,0,6,24,13778,1452,4627,39,-66,8,5,2
1,0,1,19,44,27905,4321,-1423,-6,5,16,-1,1
1,0,1,13,35,1329,734,15483,15,24,-1,-1,1
0,1,0,-9,-7,-3025,-668,-8802,-12,-17,13,-1,-1
1,1,1,14,12,19657,4243,-1618,10,91,21,-1,0
1,0,1,3,8,326,-8001,20474,-44,39,-18,1,0
1,1,1,21,20,19210,2959,15781,-20,56,36,2,1
0,0,1,-11,-20,-10308,-2084,6094,1,53,5,-2,-2
0,1,1,-10,-16,-10243,-7604,-8715,-14,-33,-14,-3,-1
1,1,0,15,45,42648,7867,-8189,37,-51,-1,0,1
1,1,1,5,-5,2874,-1441,-5983,49,65,0,-1,-1
0,0,1,-12,-36,1718,589,-17707,31,13,35,-2,-1
1,1,1,17,27,12019,2298,19069,6,-21,-1,2,2
0,1,0,-12,-20,6062,1672,-22685,-49,-49,-42,-4,-1
1,0,1,10,7,14590,-160,2741,10,-19,-4,3,-1
1,0,1,7,3,5672,2941,32223,-45,39,18,2,1
0,0,0,-7,-8,-30613,-2076,-3131,-39,17,-17,-5,0
1,1,1,13,19,3759,-905,19103,-2,12,22,1,1
1,1,0,15,12,14960,-26,9095,-19,46,15,0,1
1,0,1,-3,4,11327,2809,-39497,23,-118,-22,0,1
1,1,0,7,21,23497,767,-7211,-36,62,-6,-3,2
1,0,1,14,23,25490,2264,3572,20,104,7,3,1
0,0,0,-11,-17,-11582,-379,-5795,-26,-135,-21,-1,0
1,1,1,18,45,31148,5375,2140,10,15,8,1,1
0,1,1,-12,-31,-16603,5413,-35485,13,50,6,-3,-1
0,0,0,-11,-17,-8806,-7467,-20990,211,-70,-36,-3,-1
0,1,0,-8,-16,6960,3594,-25673,-46,24,-20,1,0
1,1,0,-7,4,-27021,924,19978,21,2,6,-1,1
0,0,0,-7,-14,-3907,292,-1034,3,-99,-5,-1,0
0,0,0,-7,-18,4037,13849,-5194,-1,-47,-4,1,-2
0,0,0,-11,-11,-7579,1930,-10836,-7,-2,-33,-2,-1
0,0,0,-13,-18,-11972,-15041,4119,-10,-35,-50,1,-1
0,1,0,-11,-29,-13874,-804,-14832,-36,72,-14,-2,-1
1,0,1,13,4,20682,-645,-6094,4,61,22,3,1
0,1,0,-2,14,-17287,2822,50,66,-3,-39,-4,-2
0,1,0,-16,-13,-8800,-2060,-12048,-6,6,-49,-3,-2
1,1,1,7,7,11579,3995,-1426,74,-102,24,3,2
1,1,0,11,20,5063,-467,12274,46,-72,26,0,1
0,0,0,-5,-8,-15286,785,-1008,-9,-40,-16,-2,0
1,1,0,-16,1,9718,-5593,-10320,-2,141,20,-4,0
0,1,1,-19,-41,-17048,-3832,-2699,-30,50,-8,-3,-1
0,0,0,-12,-13,-16281,-4575,2023,-19,-22,-11,-1,-1
